task	train	eval	family	d_auroc	auroc_lo	auroc_hi	d_auprc	auprc_lo	auprc_hi	n_boot	n_sites	n_proteins
phosphorylation_st	replica	replica	interaction	0.0029	-0.0012	0.0066	-0.0047	-0.0155	0.0050	2000	223525	3921
phosphorylation_y	replica	replica	interaction	0.0183	0.0100	0.0264	0.0401	0.0209	0.0605	2000	20913	2085
acetylation_k	replica	replica	interaction	-0.0999	-0.1445	-0.0576	-0.1302	-0.1804	-0.0656	2000	24797	2017
methylation_k	replica	replica	interaction	-0.0793	-0.1764	0.0085	-0.1401	-0.2531	0.0515	2000	13926	1712
methylation_r	replica	replica	interaction	-0.0747	-0.1846	0.0216	-0.1059	-0.2300	0.0461	2000	7194	1147
sumoylation_k	replica	replica	interaction	-0.0191	-0.0332	-0.0044	-0.0309	-0.0522	-0.0074	2000	28835	1882
ubiquitination_k	replica	replica	interaction	-0.0051	-0.0134	0.0021	-0.0053	-0.0202	0.0082	2000	72560	3478
glycosylation_n	replica	replica	interaction	-0.0161	-0.0290	-0.0043	-0.0235	-0.0479	0.0005	2000	5817	884
phosphorylation_st	replica	rebuilt	interaction	-0.0153	-0.0194	-0.0116	-0.0692	-0.0812	-0.0576	2000	322236	3921
phosphorylation_y	replica	rebuilt	interaction	-0.0010	-0.0089	0.0072	-0.0038	-0.0222	0.0157	2000	20964	1462
acetylation_k	replica	rebuilt	interaction	-0.2630	-0.2808	-0.2450	-0.2397	-0.2548	-0.2251	2000	59380	2017
methylation_k	replica	rebuilt	interaction	-0.2478	-0.2679	-0.2259	-0.2196	-0.2440	-0.1949	2000	28565	1712
methylation_r	replica	rebuilt	interaction	-0.2740	-0.2988	-0.2480	-0.2545	-0.2833	-0.2261	2000	17474	1145
sumoylation_k	replica	rebuilt	interaction	-0.1208	-0.1361	-0.1048	-0.1781	-0.1921	-0.1623	2000	70586	1882
ubiquitination_k	replica	rebuilt	interaction	-0.0295	-0.0363	-0.0225	-0.0663	-0.0785	-0.0537	2000	138192	3478
glycosylation_n	replica	rebuilt	interaction	-0.0358	-0.0427	-0.0289	-0.1297	-0.1581	-0.1001	2000	14200	884
phosphorylation_st	rebuilt	replica	interaction	0.0046	0.0010	0.0082	0.0061	-0.0013	0.0139	2000	223525	3921
phosphorylation_y	rebuilt	replica	interaction	0.0199	0.0131	0.0264	0.0321	0.0164	0.0485	2000	20913	2085
acetylation_k	rebuilt	replica	interaction	-0.0019	-0.0166	0.0121	0.0010	-0.0209	0.0243	2000	24797	2017
methylation_k	rebuilt	replica	interaction	-0.0162	-0.0459	0.0089	-0.0308	-0.0658	0.0051	2000	13926	1712
methylation_r	rebuilt	replica	interaction	0.0025	-0.0217	0.0224	0.0077	-0.0170	0.0324	2000	7194	1147
sumoylation_k	rebuilt	replica	interaction	-0.0129	-0.0262	-0.0011	-0.0164	-0.0340	0.0013	2000	28835	1882
ubiquitination_k	rebuilt	replica	interaction	-0.0097	-0.0170	-0.0030	-0.0078	-0.0205	0.0047	2000	72560	3478
glycosylation_n	rebuilt	replica	interaction	-0.0042	-0.0077	-0.0013	-0.0054	-0.0156	0.0042	2000	5817	884
phosphorylation_st	rebuilt	rebuilt	interaction	0.0147	0.0115	0.0180	0.0392	0.0305	0.0475	2000	322236	3921
phosphorylation_y	rebuilt	rebuilt	interaction	0.0121	0.0057	0.0187	0.0203	0.0036	0.0384	2000	20964	1462
acetylation_k	rebuilt	rebuilt	interaction	0.0456	0.0382	0.0531	0.1160	0.0958	0.1350	2000	59380	2017
methylation_k	rebuilt	rebuilt	interaction	0.0088	0.0034	0.0141	0.0201	0.0102	0.0298	2000	28565	1712
methylation_r	rebuilt	rebuilt	interaction	0.0171	0.0107	0.0237	0.0393	0.0257	0.0535	2000	17474	1145
sumoylation_k	rebuilt	rebuilt	interaction	0.0304	0.0212	0.0394	0.0531	0.0354	0.0709	2000	70586	1882
ubiquitination_k	rebuilt	rebuilt	interaction	0.0291	0.0233	0.0346	0.0728	0.0588	0.0866	2000	138192	3478
glycosylation_n	rebuilt	rebuilt	interaction	0.0017	-0.0003	0.0036	0.0112	-0.0075	0.0284	2000	14200	884
phosphorylation_st	replica	replica	esm2	0.0312	0.0279	0.0346	0.0600	0.0528	0.0677	2000	223525	3921
phosphorylation_y	replica	replica	esm2	0.0573	0.0486	0.0668	0.1359	0.1169	0.1567	2000	20913	2085
acetylation_k	replica	replica	esm2	0.0236	0.0072	0.0392	0.0592	0.0345	0.0840	2000	24797	2017
methylation_k	replica	replica	esm2	0.0794	0.0352	0.1226	0.1203	0.0451	0.2042	2000	13926	1712
methylation_r	replica	replica	esm2	0.0810	0.0375	0.1180	0.1212	0.0646	0.1746	2000	7194	1147
sumoylation_k	replica	replica	esm2	0.0321	0.0205	0.0431	0.0545	0.0381	0.0714	2000	28835	1882
ubiquitination_k	replica	replica	esm2	0.0452	0.0388	0.0513	0.0806	0.0698	0.0915	2000	72560	3478
glycosylation_n	replica	replica	esm2	0.0114	0.0082	0.0150	0.0324	0.0197	0.0451	2000	5817	884
phosphorylation_st	replica	rebuilt	esm2	-0.0262	-0.0309	-0.0210	-0.1398	-0.1522	-0.1268	2000	322236	3921
phosphorylation_y	replica	rebuilt	esm2	0.0157	0.0067	0.0240	0.0151	-0.0048	0.0352	2000	20964	1462
acetylation_k	replica	rebuilt	esm2	-0.1800	-0.1963	-0.1634	-0.1983	-0.2132	-0.1832	2000	59380	2017
methylation_k	replica	rebuilt	esm2	-0.2469	-0.2699	-0.2207	-0.2161	-0.2414	-0.1907	2000	28565	1712
methylation_r	replica	rebuilt	esm2	-0.2206	-0.2467	-0.1941	-0.2168	-0.2482	-0.1857	2000	17474	1145
sumoylation_k	replica	rebuilt	esm2	-0.0685	-0.0812	-0.0558	-0.1136	-0.1297	-0.0967	2000	70586	1882
ubiquitination_k	replica	rebuilt	esm2	-0.0114	-0.0181	-0.0045	-0.0308	-0.0416	-0.0189	2000	138192	3478
