task	train	eval	split	family	auroc	auprc	n_sites	pos_rate	auroc_base	auprc_base	n_sites_base	pos_rate_base	d_auroc	d_auprc
acetylation_k	rebuilt	rebuilt	0	esm2	0.8847	0.6140	19447	0.1630	0.8218	0.4497	19447	0.1630	0.0629	0.1643
acetylation_k	rebuilt	replica	0	esm2	0.8518	0.7801	7839	0.4044	0.8393	0.7577	7839	0.4044	0.0125	0.0223
acetylation_k	rebuilt	rebuilt	0	interaction	0.8583	0.5485	19447	0.1630	0.8218	0.4497	19447	0.1630	0.0365	0.0987
acetylation_k	rebuilt	replica	0	interaction	0.8277	0.7375	7839	0.4044	0.8393	0.7577	7839	0.4044	-0.0117	-0.0202
acetylation_k	rebuilt	rebuilt	0	prott5	0.8893	0.6344	19447	0.1630	0.8218	0.4497	19447	0.1630	0.0675	0.1846
acetylation_k	rebuilt	replica	0	prott5	0.8555	0.7889	7839	0.4044	0.8393	0.7577	7839	0.4044	0.0161	0.0312
acetylation_k	rebuilt	rebuilt	1	esm2	0.8818	0.6230	19570	0.1678	0.8177	0.4637	19570	0.1678	0.0641	0.1593
acetylation_k	rebuilt	replica	1	esm2	0.8497	0.7813	8060	0.4073	0.8328	0.7561	8060	0.4073	0.0169	0.0253
acetylation_k	rebuilt	rebuilt	1	interaction	0.8693	0.5867	19570	0.1678	0.8177	0.4637	19570	0.1678	0.0516	0.1230
acetylation_k	rebuilt	replica	1	interaction	0.8332	0.7591	8060	0.4073	0.8328	0.7561	8060	0.4073	0.0004	0.0030
acetylation_k	rebuilt	rebuilt	1	prott5	0.8783	0.6065	19570	0.1678	0.8177	0.4637	19570	0.1678	0.0606	0.1428
acetylation_k	rebuilt	replica	1	prott5	0.8638	0.8038	8060	0.4073	0.8328	0.7561	8060	0.4073	0.0311	0.0477
acetylation_k	rebuilt	rebuilt	2	esm2	0.8742	0.6146	20363	0.1730	0.8128	0.4608	20363	0.1730	0.0614	0.1538
acetylation_k	rebuilt	replica	2	esm2	0.8369	0.7553	8898	0.3958	0.8307	0.7420	8898	0.3958	0.0063	0.0133
acetylation_k	rebuilt	rebuilt	2	interaction	0.8622	0.5880	20363	0.1730	0.8128	0.4608	20363	0.1730	0.0494	0.1272
acetylation_k	rebuilt	replica	2	interaction	0.8356	0.7619	8898	0.3958	0.8307	0.7420	8898	0.3958	0.0050	0.0199
acetylation_k	rebuilt	rebuilt	2	prott5	0.8826	0.6282	20363	0.1730	0.8128	0.4608	20363	0.1730	0.0698	0.1674
acetylation_k	rebuilt	replica	2	prott5	0.8509	0.7702	8898	0.3958	0.8307	0.7420	8898	0.3958	0.0203	0.0281
acetylation_k	rebuilt	rebuilt	0	esm2_perm	0.7977	0.3845	19447	0.1630	0.8218	0.4497	19447	0.1630	-0.0241	-0.0652
acetylation_k	rebuilt	replica	0	esm2_perm	0.8231	0.7414	7839	0.4044	0.8393	0.7577	7839	0.4044	-0.0162	-0.0163
acetylation_k	rebuilt	rebuilt	0	interaction_perm	0.7987	0.4018	19447	0.1630	0.8218	0.4497	19447	0.1630	-0.0231	-0.0479
acetylation_k	rebuilt	replica	0	interaction_perm	0.8092	0.7201	7839	0.4044	0.8393	0.7577	7839	0.4044	-0.0301	-0.0376
acetylation_k	rebuilt	rebuilt	0	prott5_perm	0.7913	0.3979	19447	0.1630	0.8218	0.4497	19447	0.1630	-0.0305	-0.0519
acetylation_k	rebuilt	replica	0	prott5_perm	0.8274	0.7406	7839	0.4044	0.8393	0.7577	7839	0.4044	-0.0119	-0.0171
acetylation_k	rebuilt	rebuilt	1	esm2_perm	0.7954	0.4163	19570	0.1678	0.8177	0.4637	19570	0.1678	-0.0223	-0.0474
acetylation_k	rebuilt	replica	1	esm2_perm	0.8197	0.7480	8060	0.4073	0.8328	0.7561	8060	0.4073	-0.0131	-0.0081
acetylation_k	rebuilt	rebuilt	1	interaction_perm	0.7917	0.4004	19570	0.1678	0.8177	0.4637	19570	0.1678	-0.0260	-0.0633
acetylation_k	rebuilt	replica	1	interaction_perm	0.8051	0.7123	8060	0.4073	0.8328	0.7561	8060	0.4073	-0.0277	-0.0438
acetylation_k	rebuilt	rebuilt	1	prott5_perm	0.7792	0.3683	19570	0.1678	0.8177	0.4637	19570	0.1678	-0.0385	-0.0954
acetylation_k	rebuilt	replica	1	prott5_perm	0.8272	0.7624	8060	0.4073	0.8328	0.7561	8060	0.4073	-0.0056	0.0063
acetylation_k	rebuilt	rebuilt	2	esm2_perm	0.8009	0.4281	20363	0.1730	0.8128	0.4608	20363	0.1730	-0.0119	-0.0327
acetylation_k	rebuilt	replica	2	esm2_perm	0.8303	0.7398	8898	0.3958	0.8307	0.7420	8898	0.3958	-0.0004	-0.0022
acetylation_k	rebuilt	rebuilt	2	interaction_perm	0.7893	0.4087	20363	0.1730	0.8128	0.4608	20363	0.1730	-0.0235	-0.0521
acetylation_k	rebuilt	replica	2	interaction_perm	0.8130	0.7197	8898	0.3958	0.8307	0.7420	8898	0.3958	-0.0177	-0.0224
acetylation_k	rebuilt	rebuilt	2	prott5_perm	0.7916	0.4203	20363	0.1730	0.8128	0.4608	20363	0.1730	-0.0213	-0.0406
