task	depth_bin	size_bin	n_proteins	n_sites	pos_rate	depth_median	size_median	d_pct	d_pct_pos	d_pct_neg	d_auroc	d_auprc	thin
phosphorylation_st	0	0	318	6917	0.0730	1.0000	20.0000	0.3341	0.1784	0.3463	-0.0411	-0.1174	False
phosphorylation_st	0	1	188	8109	0.0363	1.0000	39.0000	0.2265	0.0911	0.2316	-0.0329	-0.0982	False
phosphorylation_st	0	2	176	11319	0.0240	1.0000	59.0000	0.1570	0.0636	0.1593	-0.0460	-0.0850	False
phosphorylation_st	0	3	127	12330	0.0149	1.0000	87.0000	0.0588	0.0186	0.0594	-0.0228	-0.0961	False
phosphorylation_st	0	4	41	7778	0.0087	2.0000	150.0000	0.0490	0.0195	0.0492	-0.0179	-0.0166	False
phosphorylation_st	1	0	247	5618	0.1862	4.0000	22.0000	0.2533	0.1500	0.2770	-0.0186	-0.0697	False
phosphorylation_st	1	1	198	8376	0.0979	4.0000	39.5000	0.1593	0.0706	0.1690	-0.0218	-0.0755	False
phosphorylation_st	1	2	146	9735	0.0645	4.0000	59.0000	0.0918	0.0489	0.0947	-0.0044	-0.0353	False
phosphorylation_st	1	3	113	10704	0.0425	4.0000	87.0000	0.0524	0.0042	0.0545	-0.0308	-0.1365	False
phosphorylation_st	1	4	67	12287	0.0217	4.0000	136.0000	-0.0419	-0.0642	-0.0414	-0.0123	-0.1174	False
phosphorylation_st	2	0	121	2887	0.3450	7.0000	23.0000	0.2369	0.1625	0.2760	-0.0224	-0.0492	False
phosphorylation_st	2	1	149	6596	0.1830	7.0000	40.0000	0.1464	0.0813	0.1609	-0.0084	-0.0632	False
phosphorylation_st	2	2	123	8069	0.1295	8.0000	57.0000	0.0392	0.0189	0.0422	0.0067	-0.0193	False
phosphorylation_st	2	3	101	10424	0.0840	8.0000	90.0000	-0.0081	-0.0206	-0.0070	-0.0001	-0.0224	False
phosphorylation_st	2	4	60	11824	0.0415	8.0000	159.5000	-0.0808	-0.0817	-0.0808	0.0002	-0.0201	False
phosphorylation_st	3	0	57	1580	0.4867	12.0000	26.0000	0.1788	0.1385	0.2169	0.0003	0.0004	False
phosphorylation_st	3	1	142	6206	0.3384	13.0000	41.0000	0.0763	0.0459	0.0919	0.0054	-0.0014	False
phosphorylation_st	3	2	192	12746	0.2329	13.5000	60.0000	0.0201	0.0079	0.0238	0.0117	0.0121	False
phosphorylation_st	3	3	186	18338	0.1584	14.0000	88.0000	-0.0380	-0.0388	-0.0379	0.0073	-0.0013	False
phosphorylation_st	3	4	151	30421	0.0828	15.0000	152.0000	-0.0959	-0.0890	-0.0965	0.0068	0.0234	False
phosphorylation_st	4	0	4	113	0.8053	23.0000	28.5000	0.1537	0.1476	0.1793	0.0599	0.0570	True
phosphorylation_st	4	1	17	762	0.6181	24.0000	42.0000	0.0439	0.0589	0.0196	0.0893	0.0648	False
phosphorylation_st	4	2	94	5876	0.4893	27.0000	60.5000	0.0172	0.0165	0.0179	0.0281	0.0239	False
phosphorylation_st	4	3	179	17741	0.3437	29.0000	94.0000	-0.0421	-0.0334	-0.0466	0.0106	0.0078	False
phosphorylation_st	4	4	396	95480	0.2598	46.0000	178.0000	-0.0886	-0.0627	-0.0976	0.0211	0.0361	False
phosphorylation_y	0	0	277	1235	0.3117	1.0000	4.0000	0.1684	0.1210	0.1899	-0.0380	-0.0826	False
phosphorylation_y	0	1	181	1575	0.1632	1.0000	8.0000	0.0886	0.0537	0.0954	-0.0239	-0.0639	False
phosphorylation_y	0	2	209	2654	0.1115	1.0000	12.0000	0.0504	0.0349	0.0523	0.0008	0.0391	False
phosphorylation_y	0	3	152	2848	0.0755	1.0000	17.0000	-0.0094	-0.0451	-0.0065	-0.0269	-0.0430	False
phosphorylation_y	0	4	137	4926	0.0412	1.0000	28.0000	-0.0939	-0.0977	-0.0938	0.0055	-0.0041	False
phosphorylation_y	1	0	24	131	0.6412	3.0000	5.0000	0.0887	0.0376	0.1799	-0.0985	-0.0567	True
phosphorylation_y	1	1	24	190	0.3789	3.0000	8.0000	0.0886	0.0413	0.1174	-0.0610	-0.0656	True
phosphorylation_y	1	2	41	554	0.2491	3.0000	12.0000	0.0341	-0.0035	0.0465	-0.0462	-0.1192	False
phosphorylation_y	1	3	25	517	0.1741	3.0000	16.0000	-0.0136	-0.0568	-0.0045	-0.0341	-0.0343	False
phosphorylation_y	1	4	31	990	0.0970	3.0000	26.0000	-0.0537	-0.0814	-0.0508	-0.0034	0.0313	False
phosphorylation_y	2	0	7	38	0.8421	4.0000	6.0000	0.2163	0.2047	0.2778	-0.1771	-0.0640	True
phosphorylation_y	2	1	27	232	0.5690	4.0000	8.0000	0.1365	0.0981	0.1873	-0.0775	-0.0689	False
phosphorylation_y	2	2	51	656	0.4299	5.0000	12.0000	0.0541	0.0321	0.0708	-0.0208	-0.0273	False
phosphorylation_y	2	3	65	1162	0.3391	5.0000	17.0000	0.0567	0.0354	0.0677	-0.0101	0.0028	False
phosphorylation_y	2	4	95	3256	0.2448	6.0000	29.0000	-0.0369	-0.0388	-0.0363	0.0075	0.0217	False
acetylation_k	0	0	293	2421	0.1784	1.0000	8.0000	0.3381	0.1281	0.3837	-0.1633	-0.2483	False
acetylation_k	0	1	174	2840	0.0849	1.0000	15.0000	0.2744	0.0487	0.2953	-0.2021	-0.1730	False
acetylation_k	0	2	175	4146	0.0610	1.0000	21.0000	0.2121	0.0210	0.2245	-0.1535	-0.1079	False
acetylation_k	0	3	135	4837	0.0397	1.0000	33.0000	0.1345	-0.0553	0.1423	-0.1797	-0.0955	False
acetylation_k	0	4	130	9014	0.0199	1.0000	59.0000	0.0044	-0.1446	0.0075	-0.1393	-0.0673	False
acetylation_k	1	0	44	439	0.3622	3.0000	8.5000	0.2138	0.0680	0.2965	-0.1537	-0.1865	False
acetylation_k	1	1	42	629	0.2146	3.0000	14.0000	0.1780	0.0277	0.2190	-0.1663	-0.2715	False
acetylation_k	1	2	45	1041	0.1383	3.0000	21.0000	0.1486	-0.0116	0.1743	-0.1420	-0.1998	False
acetylation_k	1	3	36	1359	0.0861	3.0000	34.5000	0.0081	-0.1128	0.0195	-0.1152	-0.1329	False
acetylation_k	1	4	28	1846	0.0504	3.0000	55.0000	-0.0683	-0.2148	-0.0605	-0.1149	-0.1021	False
acetylation_k	2	0	85	809	0.5501	5.0000	9.0000	0.1828	0.0963	0.2886	-0.1171	-0.1266	False
acetylation_k	2	1	69	1147	0.3670	5.0000	15.0000	0.1379	0.0060	0.2144	-0.1620	-0.2095	False
acetylation_k	2	2	83	1993	0.2333	4.0000	21.0000	0.0963	-0.0543	0.1422	-0.1660	-0.2377	False
acetylation_k	2	3	81	2881	0.1534	5.0000	33.0000	0.0241	-0.1110	0.0485	-0.1377	-0.2060	False
acetylation_k	2	4	80	5953	0.0754	5.0000	59.0000	-0.1429	-0.2613	-0.1332	-0.0844	-0.1100	False
acetylation_k	3	0	2	33	0.8182	9.0000	11.0000	0.0571	0.0246	0.2034	-0.0988	-0.0206	True
acetylation_k	3	1	29	540	0.6315	10.0000	16.0000	0.0285	-0.0149	0.1030	-0.0673	-0.0574	False
acetylation_k	3	2	67	1698	0.5082	11.0000	22.0000	-0.0296	-0.0913	0.0341	-0.0620	-0.0669	False
acetylation_k	3	3	100	3731	0.4109	13.0000	33.0000	-0.1019	-0.1827	-0.0456	-0.0830	-0.1458	False
acetylation_k	3	4	126	12023	0.2532	15.5000	71.0000	-0.2259	-0.3284	-0.1912	-0.0509	-0.1035	False
methylation_k	0	0	306	1671	0.2549	1.0000	5.0000	0.1952	0.0817	0.2340	-0.1517	-0.1420	False
methylation_k	0	1	253	2667	0.1489	1.0000	10.0000	0.1376	-0.0289	0.1667	-0.1963	-0.1383	False
methylation_k	0	2	163	2383	0.0978	1.0000	14.0000	0.1221	-0.0171	0.1371	-0.1522	-0.0788	False
methylation_k	0	3	174	3827	0.0711	1.0000	20.0000	0.0575	-0.0982	0.0694	-0.1718	-0.1163	False
methylation_k	0	4	141	5285	0.0411	1.0000	30.0000	0.0534	-0.0936	0.0597	-0.1563	-0.0537	False
methylation_k	1	0	38	254	0.4961	3.0000	6.0000	0.0446	-0.0589	0.1466	-0.1931	-0.1557	False
methylation_k	1	1	49	505	0.3208	3.0000	9.0000	0.0351	-0.1090	0.1032	-0.2122	-0.2092	False
methylation_k	1	2	52	768	0.2148	3.0000	14.0000	0.0026	-0.1129	0.0342	-0.1447	-0.1308	False
methylation_k	1	3	52	1115	0.1507	3.0000	20.0000	0.0443	-0.1044	0.0707	-0.1728	-0.1744	False
methylation_k	1	4	33	1216	0.0839	3.0000	33.0000	0.0088	-0.2050	0.0284	-0.2274	-0.1720	False
methylation_k	2	0	17	123	0.7073	4.0000	6.0000	0.0848	0.0423	0.1875	-0.1149	-0.0809	True
methylation_k	2	1	31	338	0.4882	4.0000	9.0000	0.0118	-0.0810	0.1004	-0.1831	-0.1843	False
methylation_k	2	2	56	832	0.4147	5.0000	14.0000	-0.1288	-0.2745	-0.0255	-0.2518	-0.2491	False
methylation_k	2	3	72	1618	0.3356	6.0000	20.5000	-0.1687	-0.3409	-0.0817	-0.2505	-0.2952	False
methylation_k	2	4	126	5963	0.2118	6.0000	34.5000	-0.2032	-0.4477	-0.1375	-0.2771	-0.3407	False
methylation_r	0	0	203	941	0.2986	1.0000	4.0000	0.2096	0.0949	0.2584	-0.1548	-0.1427	False
methylation_r	0	1	180	1668	0.1559	1.0000	8.0000	0.1857	0.0356	0.2134	-0.1716	-0.1317	False
methylation_r	0	2	127	1694	0.1116	1.0000	12.0000	0.1684	0.0090	0.1884	-0.1704	-0.1341	False
methylation_r	0	3	131	2589	0.0780	1.0000	18.0000	0.0439	-0.0907	0.0553	-0.1465	-0.1428	False
methylation_r	0	4	104	3878	0.0451	2.0000	29.5000	0.0157	-0.1629	0.0241	-0.1717	-0.1199	False
methylation_r	1	0	13	69	0.6522	3.0000	4.0000	0.1457	0.0693	0.2890	-0.2417	-0.1641	True
methylation_r	1	1	39	350	0.3686	3.0000	8.0000	0.0970	-0.0180	0.1640	-0.1590	-0.1498	False
methylation_r	1	2	32	443	0.2438	3.0000	12.0000	-0.0083	-0.1419	0.0348	-0.1766	-0.1680	False
methylation_r	1	3	23	416	0.1731	3.0000	17.0000	-0.0588	-0.2032	-0.0286	-0.1733	-0.1650	False
methylation_r	1	4	20	709	0.0973	3.0000	28.5000	-0.0129	-0.1695	0.0040	-0.1646	-0.1068	False
methylation_r	2	0	6	38	0.7632	4.0000	5.5000	0.2485	0.1801	0.4690	-0.2682	-0.1142	True
methylation_r	2	1	16	139	0.5755	5.0000	8.5000	-0.0245	-0.0953	0.0716	-0.1593	-0.1028	True
methylation_r	2	2	19	244	0.4303	5.0000	13.0000	-0.0528	-0.2253	0.0776	-0.3034	-0.3375	False
methylation_r	2	3	57	1074	0.3845	6.0000	17.0000	-0.2094	-0.3517	-0.1204	-0.2067	-0.2750	False
methylation_r	2	4	72	3222	0.2281	6.5000	32.0000	-0.2302	-0.4233	-0.1732	-0.1970	-0.3051	False
sumoylation_k	0	0	255	2799	0.1386	1.0000	10.0000	0.3253	0.1575	0.3523	-0.0655	-0.1557	False
sumoylation_k	0	1	152	3206	0.0730	1.0000	19.0000	0.2155	0.0650	0.2274	-0.0835	-0.1516	False
sumoylation_k	0	2	125	4002	0.0477	1.0000	29.0000	0.1181	0.0014	0.1240	-0.0670	-0.1786	False
sumoylation_k	0	3	98	4650	0.0292	1.0000	45.0000	0.0415	-0.0325	0.0437	-0.0565	-0.1064	False
sumoylation_k	0	4	102	9816	0.0147	1.0000	76.0000	-0.0565	-0.1254	-0.0554	-0.0581	-0.0746	False
sumoylation_k	1	0	73	852	0.3122	3.0000	11.0000	0.2800	0.1589	0.3349	-0.0639	-0.1114	False
sumoylation_k	1	1	75	1545	0.1806	3.0000	19.0000	0.2112	0.0955	0.2367	-0.0826	-0.1312	False
sumoylation_k	1	2	58	1792	0.1267	3.5000	27.0000	0.1247	0.0412	0.1367	-0.0528	-0.1220	False
sumoylation_k	1	3	59	2798	0.0779	3.0000	43.0000	-0.0028	-0.0727	0.0031	-0.0513	-0.1334	False
sumoylation_k	1	4	51	5114	0.0364	3.0000	78.0000	-0.1073	-0.1188	-0.1069	-0.0006	-0.0636	False
sumoylation_k	2	0	45	600	0.4933	6.0000	13.0000	0.2102	0.1557	0.2632	-0.0452	-0.0712	False
