task	depth_bin	size_bin	n_proteins	n_sites	pos_rate	depth_median	size_median	d_pct	d_pct_pos	d_pct_neg	d_auroc	d_auprc	thin
phosphorylation_st	0	0	318	6917	0.0730	1.0000	20.0000	-0.0072	-0.0118	-0.0069	0.0043	0.0048	False
phosphorylation_st	0	1	188	8109	0.0363	1.0000	39.0000	0.0019	-0.0084	0.0023	-0.0001	-0.0213	False
phosphorylation_st	0	2	176	11319	0.0240	1.0000	59.0000	-0.0331	-0.0433	-0.0329	-0.0050	-0.0108	False
phosphorylation_st	0	3	127	12330	0.0149	1.0000	87.0000	-0.0462	-0.0553	-0.0460	-0.0064	0.0103	False
phosphorylation_st	0	4	41	7778	0.0087	2.0000	150.0000	-0.0589	-0.0640	-0.0589	-0.0074	0.0071	False
phosphorylation_st	1	0	247	5618	0.1862	4.0000	22.0000	0.0079	0.0008	0.0095	0.0009	0.0190	False
phosphorylation_st	1	1	198	8376	0.0979	4.0000	39.5000	-0.0153	-0.0223	-0.0146	-0.0041	-0.0218	False
phosphorylation_st	1	2	146	9735	0.0645	4.0000	59.0000	-0.0026	-0.0088	-0.0022	0.0056	-0.0064	False
phosphorylation_st	1	3	113	10704	0.0425	4.0000	87.0000	-0.0442	-0.0434	-0.0443	-0.0048	0.0129	False
phosphorylation_st	1	4	67	12287	0.0217	4.0000	136.0000	-0.0287	-0.0369	-0.0285	-0.0006	-0.0113	False
phosphorylation_st	2	0	121	2887	0.3450	7.0000	23.0000	0.0435	0.0363	0.0472	0.0060	0.0076	False
phosphorylation_st	2	1	149	6596	0.1830	7.0000	40.0000	0.0158	0.0004	0.0193	-0.0036	-0.0037	False
phosphorylation_st	2	2	123	8069	0.1295	8.0000	57.0000	0.0084	-0.0056	0.0105	0.0017	0.0017	False
phosphorylation_st	2	3	101	10424	0.0840	8.0000	90.0000	-0.0251	-0.0270	-0.0249	0.0039	0.0276	False
phosphorylation_st	2	4	60	11824	0.0415	8.0000	159.5000	-0.0337	-0.0459	-0.0332	-0.0047	0.0068	False
phosphorylation_st	3	0	57	1580	0.4867	12.0000	26.0000	0.0765	0.0630	0.0894	0.0126	0.0044	False
phosphorylation_st	3	1	142	6206	0.3384	13.0000	41.0000	0.0299	0.0148	0.0376	-0.0062	-0.0168	False
phosphorylation_st	3	2	192	12746	0.2329	13.5000	60.0000	0.0348	0.0215	0.0388	-0.0009	-0.0067	False
phosphorylation_st	3	3	186	18338	0.1584	14.0000	88.0000	0.0101	-0.0039	0.0128	-0.0059	-0.0242	False
phosphorylation_st	3	4	151	30421	0.0828	15.0000	152.0000	-0.0138	-0.0281	-0.0125	-0.0098	-0.0050	False
phosphorylation_st	4	0	4	113	0.8053	23.0000	28.5000	0.0254	0.0219	0.0397	-0.0005	0.0096	True
phosphorylation_st	4	1	17	762	0.6181	24.0000	42.0000	0.0418	0.0423	0.0409	0.0336	0.0460	False
phosphorylation_st	4	2	94	5876	0.4893	27.0000	60.5000	0.0473	0.0377	0.0566	0.0019	-0.0089	False
phosphorylation_st	4	3	179	17741	0.3437	29.0000	94.0000	0.0165	0.0086	0.0207	-0.0067	-0.0132	False
phosphorylation_st	4	4	396	95480	0.2598	46.0000	178.0000	0.0169	0.0212	0.0154	0.0105	0.0178	False
phosphorylation_y	0	0	277	1235	0.3117	1.0000	4.0000	0.0175	0.0127	0.0197	0.0065	0.0190	False
phosphorylation_y	0	1	181	1575	0.1632	1.0000	8.0000	0.0144	0.0002	0.0171	-0.0125	-0.0107	False
phosphorylation_y	0	2	209	2654	0.1115	1.0000	12.0000	0.0082	-0.0068	0.0101	-0.0125	0.0126	False
phosphorylation_y	0	3	152	2848	0.0755	1.0000	17.0000	-0.0034	-0.0140	-0.0026	0.0039	-0.0059	False
phosphorylation_y	0	4	137	4926	0.0412	1.0000	28.0000	-0.0400	-0.0476	-0.0397	-0.0107	-0.0355	False
phosphorylation_y	1	0	24	131	0.6412	3.0000	5.0000	0.0216	0.0077	0.0465	-0.0013	0.0014	True
phosphorylation_y	1	1	24	190	0.3789	3.0000	8.0000	0.0309	0.0367	0.0273	0.0125	0.0242	True
phosphorylation_y	1	2	41	554	0.2491	3.0000	12.0000	-0.0204	-0.0140	-0.0225	-0.0006	0.0162	False
phosphorylation_y	1	3	25	517	0.1741	3.0000	16.0000	0.0235	-0.0034	0.0291	-0.0252	-0.0269	False
phosphorylation_y	1	4	31	990	0.0970	3.0000	26.0000	-0.0432	-0.0347	-0.0441	0.0091	-0.0256	False
phosphorylation_y	2	0	7	38	0.8421	4.0000	6.0000	0.0617	0.0596	0.0728	-0.0521	-0.0152	True
phosphorylation_y	2	1	27	232	0.5690	4.0000	8.0000	0.0605	0.0411	0.0861	-0.0273	-0.0209	False
phosphorylation_y	2	2	51	656	0.4299	5.0000	12.0000	0.0244	0.0168	0.0301	-0.0028	-0.0271	False
phosphorylation_y	2	3	65	1162	0.3391	5.0000	17.0000	0.0481	0.0433	0.0506	0.0111	-0.0170	False
phosphorylation_y	2	4	95	3256	0.2448	6.0000	29.0000	0.0263	0.0226	0.0275	-0.0077	-0.0227	False
acetylation_k	0	0	293	2421	0.1784	1.0000	8.0000	0.0154	-0.0072	0.0203	0.0023	0.0004	False
acetylation_k	0	1	174	2840	0.0849	1.0000	15.0000	0.0004	-0.0373	0.0039	-0.0229	-0.0298	False
acetylation_k	0	2	175	4146	0.0610	1.0000	21.0000	-0.0283	-0.0580	-0.0263	-0.0189	-0.0343	False
acetylation_k	0	3	135	4837	0.0397	1.0000	33.0000	-0.0411	-0.0364	-0.0413	0.0084	0.0075	False
acetylation_k	0	4	130	9014	0.0199	1.0000	59.0000	-0.0625	-0.0569	-0.0626	0.0007	0.0002	False
acetylation_k	1	0	44	439	0.3622	3.0000	8.5000	0.0119	-0.0132	0.0262	-0.0032	-0.0253	False
acetylation_k	1	1	42	629	0.2146	3.0000	14.0000	0.0164	-0.0043	0.0221	-0.0181	-0.0224	False
acetylation_k	1	2	45	1041	0.1383	3.0000	21.0000	0.0124	0.0119	0.0125	0.0163	0.0240	False
acetylation_k	1	3	36	1359	0.0861	3.0000	34.5000	-0.0603	-0.0714	-0.0592	0.0051	0.0606	False
acetylation_k	1	4	28	1846	0.0504	3.0000	55.0000	-0.0932	-0.0833	-0.0937	0.0171	0.0511	False
acetylation_k	2	0	85	809	0.5501	5.0000	9.0000	0.0956	0.0724	0.1240	-0.0166	-0.0092	False
acetylation_k	2	1	69	1147	0.3670	5.0000	15.0000	0.0709	0.0438	0.0865	-0.0196	-0.0281	False
acetylation_k	2	2	83	1993	0.2333	4.0000	21.0000	0.0461	0.0275	0.0518	0.0013	-0.0007	False
acetylation_k	2	3	81	2881	0.1534	5.0000	33.0000	0.0023	-0.0087	0.0043	0.0033	0.0169	False
acetylation_k	2	4	80	5953	0.0754	5.0000	59.0000	-0.0235	-0.0265	-0.0233	0.0051	0.0317	False
acetylation_k	3	0	2	33	0.8182	9.0000	11.0000	0.0292	0.0218	0.0623	-0.0309	-0.0322	True
acetylation_k	3	1	29	540	0.6315	10.0000	16.0000	0.1118	0.0985	0.1347	-0.0031	-0.0034	False
acetylation_k	3	2	67	1698	0.5082	11.0000	22.0000	0.1436	0.1169	0.1712	-0.0093	0.0090	False
acetylation_k	3	3	100	3731	0.4109	13.0000	33.0000	0.0846	0.0715	0.0938	0.0064	0.0250	False
acetylation_k	3	4	126	12023	0.2532	15.5000	71.0000	0.0273	0.0483	0.0201	0.0366	0.0733	False
methylation_k	0	0	306	1671	0.2549	1.0000	5.0000	0.0497	0.0298	0.0566	0.0018	0.0139	False
methylation_k	0	1	253	2667	0.1489	1.0000	10.0000	0.0277	0.0069	0.0314	-0.0067	0.0139	False
methylation_k	0	2	163	2383	0.0978	1.0000	14.0000	0.0061	-0.0033	0.0071	-0.0069	-0.0122	False
methylation_k	0	3	174	3827	0.0711	1.0000	20.0000	-0.0063	-0.0155	-0.0055	-0.0073	-0.0070	False
methylation_k	0	4	141	5285	0.0411	1.0000	30.0000	-0.0406	-0.0487	-0.0403	-0.0093	-0.0122	False
methylation_k	1	0	38	254	0.4961	3.0000	6.0000	0.0593	0.0376	0.0806	-0.0109	0.0134	False
methylation_k	1	1	49	505	0.3208	3.0000	9.0000	0.0835	0.0519	0.0984	0.0040	0.0225	False
methylation_k	1	2	52	768	0.2148	3.0000	14.0000	0.0177	0.0282	0.0149	0.0223	0.0648	False
methylation_k	1	3	52	1115	0.1507	3.0000	20.0000	0.0065	0.0023	0.0072	0.0009	0.0224	False
methylation_k	1	4	33	1216	0.0839	3.0000	33.0000	-0.0046	-0.0352	-0.0019	-0.0247	-0.0216	False
methylation_k	2	0	17	123	0.7073	4.0000	6.0000	0.0569	0.0373	0.1043	-0.0587	-0.0324	True
methylation_k	2	1	31	338	0.4882	4.0000	9.0000	0.0628	0.0433	0.0813	-0.0095	-0.0259	False
methylation_k	2	2	56	832	0.4147	5.0000	14.0000	0.0362	0.0150	0.0513	-0.0229	-0.0275	False
methylation_k	2	3	72	1618	0.3356	6.0000	20.5000	0.0224	0.0134	0.0270	-0.0002	0.0095	False
methylation_k	2	4	126	5963	0.2118	6.0000	34.5000	-0.0168	-0.0024	-0.0206	0.0042	0.0002	False
methylation_r	0	0	203	941	0.2986	1.0000	4.0000	0.0588	0.0398	0.0669	0.0021	0.0266	False
methylation_r	0	1	180	1668	0.1559	1.0000	8.0000	0.0428	0.0336	0.0445	0.0046	0.0138	False
methylation_r	0	2	127	1694	0.1116	1.0000	12.0000	0.0143	0.0243	0.0131	0.0215	0.0461	False
methylation_r	0	3	131	2589	0.0780	1.0000	18.0000	-0.0161	0.0033	-0.0177	0.0193	-0.0117	False
methylation_r	0	4	104	3878	0.0451	2.0000	29.5000	-0.0459	-0.0375	-0.0463	0.0019	0.0091	False
methylation_r	1	0	13	69	0.6522	3.0000	4.0000	0.0461	0.0168	0.1010	-0.0500	-0.0384	True
methylation_r	1	1	39	350	0.3686	3.0000	8.0000	0.0248	0.0183	0.0286	-0.0055	0.0110	False
methylation_r	1	2	32	443	0.2438	3.0000	12.0000	0.0544	0.0520	0.0551	0.0292	0.0820	False
methylation_r	1	3	23	416	0.1731	3.0000	17.0000	0.0133	0.0076	0.0145	-0.0030	0.0308	False
methylation_r	1	4	20	709	0.0973	3.0000	28.5000	0.0188	0.0441	0.0161	0.0347	0.0508	False
methylation_r	2	0	6	38	0.7632	4.0000	5.5000	0.1000	0.0888	0.1359	-0.0230	-0.0119	True
methylation_r	2	1	16	139	0.5755	5.0000	8.5000	0.0403	0.0077	0.0845	-0.0676	-0.0435	True
methylation_r	2	2	19	244	0.4303	5.0000	13.0000	0.0409	0.0208	0.0561	-0.0056	-0.0132	False
methylation_r	2	3	57	1074	0.3845	6.0000	17.0000	0.0359	0.0209	0.0452	0.0003	0.0019	False
methylation_r	2	4	72	3222	0.2281	6.5000	32.0000	-0.0137	-0.0051	-0.0162	0.0034	0.0304	False
sumoylation_k	0	0	255	2799	0.1386	1.0000	10.0000	0.0127	-0.0037	0.0153	-0.0121	-0.0324	False
sumoylation_k	0	1	152	3206	0.0730	1.0000	19.0000	0.0034	-0.0151	0.0048	-0.0167	-0.0439	False
sumoylation_k	0	2	125	4002	0.0477	1.0000	29.0000	-0.0312	-0.0300	-0.0313	-0.0042	-0.0485	False
sumoylation_k	0	3	98	4650	0.0292	1.0000	45.0000	-0.0397	-0.0484	-0.0394	-0.0182	-0.0418	False
sumoylation_k	0	4	102	9816	0.0147	1.0000	76.0000	-0.0677	-0.0702	-0.0677	-0.0094	0.0131	False
sumoylation_k	1	0	73	852	0.3122	3.0000	11.0000	-0.0084	-0.0255	-0.0007	-0.0173	-0.0511	False
sumoylation_k	1	1	75	1545	0.1806	3.0000	19.0000	-0.0057	-0.0272	-0.0009	-0.0290	-0.0647	False
sumoylation_k	1	2	58	1792	0.1267	3.5000	27.0000	0.0120	-0.0043	0.0143	-0.0177	-0.0251	False
sumoylation_k	1	3	59	2798	0.0779	3.0000	43.0000	-0.0315	-0.0503	-0.0299	-0.0271	-0.0433	False
sumoylation_k	1	4	51	5114	0.0364	3.0000	78.0000	-0.0549	-0.0363	-0.0556	0.0081	-0.0467	False
sumoylation_k	2	0	45	600	0.4933	6.0000	13.0000	0.0362	0.0315	0.0408	-0.0041	0.0107	False
sumoylation_k	2	1	96	2027	0.3483	7.0000	20.0000	0.0171	-0.0021	0.0274	-0.0197	-0.0137	False
sumoylation_k	2	2	87	2808	0.2539	7.0000	28.0000	0.0387	0.0027	0.0509	-0.0323	-0.0425	False
sumoylation_k	2	3	78	3436	0.1676	7.0000	42.0000	0.0298	0.0089	0.0340	-0.0200	-0.0529	False
sumoylation_k	2	4	65	6055	0.0791	7.0000	79.0000	-0.0077	-0.0166	-0.0070	-0.0066	-0.0441	False
sumoylation_k	3	0	2	29	0.8276	12.0000	14.5000	0.0342	0.0378	0.0171	0.0333	-0.0337	True
sumoylation_k	3	1	24	507	0.6805	14.0000	21.0000	0.0995	0.0875	0.1251	-0.0230	-0.0070	False
sumoylation_k	3	2	62	1950	0.5472	15.0000	30.0000	0.0505	0.0498	0.0513	-0.0073	-0.0035	False
sumoylation_k	3	3	98	4561	0.4242	18.0000	44.5000	0.0561	0.0425	0.0661	-0.0062	-0.0115	False
