task	depth_bin	size_bin	n_proteins	n_sites	pos_rate	depth_median	size_median	d_pct	d_pct_pos	d_pct_neg	d_auroc	d_auprc	thin
phosphorylation_st	0	0	318	6917	0.0730	1.0000	20.0000	0.0489	0.0186	0.0513	-0.0276	-0.0699	False
phosphorylation_st	0	1	188	8109	0.0363	1.0000	39.0000	0.0717	0.0260	0.0734	-0.0206	-0.0391	False
phosphorylation_st	0	2	176	11319	0.0240	1.0000	59.0000	0.0616	0.0080	0.0630	-0.0464	-0.0944	False
phosphorylation_st	0	3	127	12330	0.0149	1.0000	87.0000	0.0369	-0.0040	0.0375	-0.0317	-0.0484	False
phosphorylation_st	0	4	41	7778	0.0087	2.0000	150.0000	0.0006	-0.0052	0.0007	-0.0081	-0.0066	False
phosphorylation_st	1	0	247	5618	0.1862	4.0000	22.0000	0.0683	0.0390	0.0750	-0.0226	-0.0480	False
phosphorylation_st	1	1	198	8376	0.0979	4.0000	39.5000	0.0301	-0.0055	0.0340	-0.0308	-0.0539	False
phosphorylation_st	1	2	146	9735	0.0645	4.0000	59.0000	0.0631	0.0321	0.0653	-0.0193	-0.0729	False
phosphorylation_st	1	3	113	10704	0.0425	4.0000	87.0000	0.0253	-0.0010	0.0265	-0.0298	-0.0946	False
phosphorylation_st	1	4	67	12287	0.0217	4.0000	136.0000	0.0109	-0.0280	0.0118	-0.0183	-0.0543	False
phosphorylation_st	2	0	121	2887	0.3450	7.0000	23.0000	0.0357	0.0232	0.0423	-0.0224	-0.0578	False
phosphorylation_st	2	1	149	6596	0.1830	7.0000	40.0000	0.0658	0.0336	0.0730	-0.0218	-0.0888	False
phosphorylation_st	2	2	123	8069	0.1295	8.0000	57.0000	0.0187	-0.0025	0.0218	-0.0187	-0.1100	False
phosphorylation_st	2	3	101	10424	0.0840	8.0000	90.0000	0.0007	-0.0173	0.0023	-0.0231	-0.0958	False
phosphorylation_st	2	4	60	11824	0.0415	8.0000	159.5000	-0.0129	-0.0350	-0.0120	-0.0191	-0.0739	False
phosphorylation_st	3	0	57	1580	0.4867	12.0000	26.0000	0.0715	0.0542	0.0878	-0.0160	-0.0178	False
phosphorylation_st	3	1	142	6206	0.3384	13.0000	41.0000	0.0341	0.0169	0.0429	-0.0174	-0.0308	False
phosphorylation_st	3	2	192	12746	0.2329	13.5000	60.0000	0.0203	0.0032	0.0255	-0.0161	-0.0539	False
phosphorylation_st	3	3	186	18338	0.1584	14.0000	88.0000	-0.0116	-0.0195	-0.0101	-0.0130	-0.0556	False
phosphorylation_st	3	4	151	30421	0.0828	15.0000	152.0000	-0.0215	-0.0416	-0.0197	-0.0181	-0.0364	False
phosphorylation_st	4	0	4	113	0.8053	23.0000	28.5000	0.0275	0.0211	0.0541	-0.0290	0.0316	True
phosphorylation_st	4	1	17	762	0.6181	24.0000	42.0000	0.0103	0.0109	0.0095	0.0226	0.0414	False
phosphorylation_st	4	2	94	5876	0.4893	27.0000	60.5000	0.0109	0.0128	0.0091	0.0112	0.0034	False
phosphorylation_st	4	3	179	17741	0.3437	29.0000	94.0000	-0.0314	-0.0269	-0.0338	-0.0068	-0.0247	False
phosphorylation_st	4	4	396	95480	0.2598	46.0000	178.0000	-0.0367	-0.0241	-0.0412	0.0029	-0.0046	False
phosphorylation_y	0	0	277	1235	0.3117	1.0000	4.0000	0.0289	0.0040	0.0402	-0.0345	-0.0583	False
phosphorylation_y	0	1	181	1575	0.1632	1.0000	8.0000	0.0391	0.0165	0.0435	-0.0303	-0.0636	False
phosphorylation_y	0	2	209	2654	0.1115	1.0000	12.0000	0.0148	-0.0114	0.0181	-0.0302	-0.0095	False
phosphorylation_y	0	3	152	2848	0.0755	1.0000	17.0000	-0.0145	-0.0505	-0.0115	-0.0280	-0.0583	False
phosphorylation_y	0	4	137	4926	0.0412	1.0000	28.0000	-0.0418	-0.0540	-0.0413	-0.0088	-0.0223	False
phosphorylation_y	1	0	24	131	0.6412	3.0000	5.0000	0.0180	-0.0115	0.0707	-0.0466	-0.0306	True
phosphorylation_y	1	1	24	190	0.3789	3.0000	8.0000	0.0269	-0.0033	0.0454	-0.0807	-0.0909	True
phosphorylation_y	1	2	41	554	0.2491	3.0000	12.0000	-0.0100	-0.0298	-0.0034	-0.0287	-0.0482	False
phosphorylation_y	1	3	25	517	0.1741	3.0000	16.0000	0.0081	-0.0313	0.0164	-0.0283	-0.0232	False
phosphorylation_y	1	4	31	990	0.0970	3.0000	26.0000	-0.0398	-0.0291	-0.0410	0.0131	0.0139	False
phosphorylation_y	2	0	7	38	0.8421	4.0000	6.0000	0.1165	0.1227	0.0838	0.1250	0.0559	True
phosphorylation_y	2	1	27	232	0.5690	4.0000	8.0000	0.0928	0.0672	0.1265	-0.0386	-0.0461	False
phosphorylation_y	2	2	51	656	0.4299	5.0000	12.0000	0.0130	0.0007	0.0222	-0.0100	-0.0122	False
phosphorylation_y	2	3	65	1162	0.3391	5.0000	17.0000	0.0666	0.0501	0.0751	0.0001	-0.0014	False
phosphorylation_y	2	4	95	3256	0.2448	6.0000	29.0000	0.0098	-0.0065	0.0151	-0.0200	-0.0359	False
acetylation_k	0	0	293	2421	0.1784	1.0000	8.0000	0.1030	-0.0808	0.1430	-0.2229	-0.2819	False
acetylation_k	0	1	174	2840	0.0849	1.0000	15.0000	0.1328	-0.0653	0.1512	-0.2046	-0.1782	False
acetylation_k	0	2	175	4146	0.0610	1.0000	21.0000	0.1201	-0.0831	0.1333	-0.2051	-0.1277	False
acetylation_k	0	3	135	4837	0.0397	1.0000	33.0000	0.1143	-0.0779	0.1223	-0.1933	-0.1011	False
acetylation_k	0	4	130	9014	0.0199	1.0000	59.0000	0.0729	-0.1179	0.0767	-0.1871	-0.0735	False
acetylation_k	1	0	44	439	0.3622	3.0000	8.5000	-0.0728	-0.1970	-0.0022	-0.1932	-0.2249	False
acetylation_k	1	1	42	629	0.2146	3.0000	14.0000	0.0408	-0.1008	0.0795	-0.1843	-0.2832	False
acetylation_k	1	2	45	1041	0.1383	3.0000	21.0000	0.0635	-0.1057	0.0907	-0.1909	-0.2168	False
