task	depth_bin	size_bin	n_proteins	n_sites	pos_rate	depth_median	size_median	d_pct	d_pct_pos	d_pct_neg	d_auroc	d_auprc	thin
phosphorylation_st	0	0	318	6917	0.0730	1.0000	20.0000	0.3633	0.1887	0.3770	-0.0423	-0.1036	False
phosphorylation_st	0	1	188	8109	0.0363	1.0000	39.0000	0.2782	0.1055	0.2847	-0.0483	-0.0969	False
phosphorylation_st	0	2	176	11319	0.0240	1.0000	59.0000	0.1745	0.0674	0.1771	-0.0483	-0.1010	False
phosphorylation_st	0	3	127	12330	0.0149	1.0000	87.0000	0.0450	0.0026	0.0457	-0.0230	-0.0533	False
phosphorylation_st	0	4	41	7778	0.0087	2.0000	150.0000	0.0426	-0.0048	0.0430	-0.0275	-0.0150	False
phosphorylation_st	1	0	247	5618	0.1862	4.0000	22.0000	0.2888	0.1643	0.3172	-0.0207	-0.0582	False
phosphorylation_st	1	1	198	8376	0.0979	4.0000	39.5000	0.1804	0.0774	0.1915	-0.0311	-0.0820	False
phosphorylation_st	1	2	146	9735	0.0645	4.0000	59.0000	0.1193	0.0565	0.1237	-0.0178	-0.0672	False
phosphorylation_st	1	3	113	10704	0.0425	4.0000	87.0000	0.0397	0.0018	0.0414	-0.0135	-0.0815	False
phosphorylation_st	1	4	67	12287	0.0217	4.0000	136.0000	-0.0319	-0.0525	-0.0314	-0.0049	-0.1005	False
phosphorylation_st	2	0	121	2887	0.3450	7.0000	23.0000	0.2466	0.1686	0.2877	-0.0096	-0.0300	False
phosphorylation_st	2	1	149	6596	0.1830	7.0000	40.0000	0.1463	0.0760	0.1620	-0.0157	-0.0575	False
phosphorylation_st	2	2	123	8069	0.1295	8.0000	57.0000	0.0621	0.0338	0.0663	0.0044	-0.0805	False
phosphorylation_st	2	3	101	10424	0.0840	8.0000	90.0000	-0.0179	-0.0272	-0.0170	0.0000	-0.0518	False
phosphorylation_st	2	4	60	11824	0.0415	8.0000	159.5000	-0.0667	-0.0761	-0.0663	0.0030	-0.0047	False
phosphorylation_st	3	0	57	1580	0.4867	12.0000	26.0000	0.1900	0.1469	0.2308	0.0181	0.0104	False
phosphorylation_st	3	1	142	6206	0.3384	13.0000	41.0000	0.0858	0.0482	0.1051	-0.0020	-0.0338	False
phosphorylation_st	3	2	192	12746	0.2329	13.5000	60.0000	0.0076	-0.0000	0.0099	0.0131	0.0147	False
phosphorylation_st	3	3	186	18338	0.1584	14.0000	88.0000	-0.0480	-0.0484	-0.0480	0.0074	-0.0206	False
phosphorylation_st	3	4	151	30421	0.0828	15.0000	152.0000	-0.0903	-0.0849	-0.0908	0.0106	0.0281	False
phosphorylation_st	4	0	4	113	0.8053	23.0000	28.5000	0.1556	0.1492	0.1821	0.0095	0.0311	True
phosphorylation_st	4	1	17	762	0.6181	24.0000	42.0000	0.0681	0.0715	0.0627	0.0795	0.0677	False
phosphorylation_st	4	2	94	5876	0.4893	27.0000	60.5000	0.0109	0.0097	0.0120	0.0210	0.0161	False
phosphorylation_st	4	3	179	17741	0.3437	29.0000	94.0000	-0.0471	-0.0387	-0.0515	0.0107	0.0103	False
phosphorylation_st	4	4	396	95480	0.2598	46.0000	178.0000	-0.1022	-0.0765	-0.1113	0.0213	0.0365	False
phosphorylation_y	0	0	277	1235	0.3117	1.0000	4.0000	0.1941	0.1357	0.2205	-0.0533	-0.0957	False
phosphorylation_y	0	1	181	1575	0.1632	1.0000	8.0000	0.1070	0.0459	0.1190	-0.0605	-0.1161	False
phosphorylation_y	0	2	209	2654	0.1115	1.0000	12.0000	0.0546	0.0166	0.0594	-0.0224	0.0043	False
phosphorylation_y	0	3	152	2848	0.0755	1.0000	17.0000	-0.0181	-0.0743	-0.0135	-0.0392	-0.0583	False
phosphorylation_y	0	4	137	4926	0.0412	1.0000	28.0000	-0.1124	-0.1256	-0.1118	0.0030	0.0015	False
phosphorylation_y	1	0	24	131	0.6412	3.0000	5.0000	0.1303	0.0863	0.2089	-0.0702	-0.0687	True
phosphorylation_y	1	1	24	190	0.3789	3.0000	8.0000	0.1318	0.0629	0.1739	-0.0851	-0.0539	True
phosphorylation_y	1	2	41	554	0.2491	3.0000	12.0000	0.0239	-0.0169	0.0375	-0.0551	-0.1328	False
phosphorylation_y	1	3	25	517	0.1741	3.0000	16.0000	-0.0068	-0.0683	0.0061	-0.0524	-0.0276	False
phosphorylation_y	1	4	31	990	0.0970	3.0000	26.0000	-0.0714	-0.0912	-0.0693	0.0033	0.0577	False
phosphorylation_y	2	0	7	38	0.8421	4.0000	6.0000	0.2293	0.2130	0.3163	-0.0469	0.0091	True
phosphorylation_y	2	1	27	232	0.5690	4.0000	8.0000	0.1850	0.1423	0.2415	-0.0649	-0.0340	False
phosphorylation_y	2	2	51	656	0.4299	5.0000	12.0000	0.0673	0.0474	0.0823	-0.0173	-0.0271	False
phosphorylation_y	2	3	65	1162	0.3391	5.0000	17.0000	0.0599	0.0322	0.0742	-0.0055	-0.0087	False
phosphorylation_y	2	4	95	3256	0.2448	6.0000	29.0000	-0.0291	-0.0444	-0.0241	0.0008	0.0151	False
acetylation_k	0	0	293	2421	0.1784	1.0000	8.0000	0.3323	0.1119	0.3802	-0.2047	-0.2712	False
acetylation_k	0	1	174	2840	0.0849	1.0000	15.0000	0.2670	0.0339	0.2886	-0.2270	-0.1874	False
acetylation_k	0	2	175	4146	0.0610	1.0000	21.0000	0.2008	-0.0131	0.2147	-0.1942	-0.1223	False
acetylation_k	0	3	135	4837	0.0397	1.0000	33.0000	0.1485	-0.0716	0.1576	-0.2160	-0.1014	False
acetylation_k	0	4	130	9014	0.0199	1.0000	59.0000	0.0297	-0.1521	0.0334	-0.1760	-0.0718	False
acetylation_k	1	0	44	439	0.3622	3.0000	8.5000	0.1937	0.0451	0.2781	-0.1875	-0.2347	False
acetylation_k	1	1	42	629	0.2146	3.0000	14.0000	0.1940	0.0309	0.2386	-0.1806	-0.2826	False
acetylation_k	1	2	45	1041	0.1383	3.0000	21.0000	0.1751	-0.0148	0.2056	-0.1791	-0.2238	False
acetylation_k	1	3	36	1359	0.0861	3.0000	34.5000	0.0692	-0.0878	0.0839	-0.1546	-0.1371	False
acetylation_k	1	4	28	1846	0.0504	3.0000	55.0000	0.0106	-0.1754	0.0205	-0.1716	-0.0934	False
acetylation_k	2	0	85	809	0.5501	5.0000	9.0000	0.1378	0.0550	0.2390	-0.1309	-0.1376	False
acetylation_k	2	1	69	1147	0.3670	5.0000	15.0000	0.1224	-0.0169	0.2032	-0.2006	-0.2535	False
acetylation_k	2	2	83	1993	0.2333	4.0000	21.0000	0.0602	-0.1053	0.1106	-0.1994	-0.2729	False
acetylation_k	2	3	81	2881	0.1534	5.0000	33.0000	0.0229	-0.1412	0.0527	-0.1755	-0.2252	False
acetylation_k	2	4	80	5953	0.0754	5.0000	59.0000	-0.1342	-0.2801	-0.1223	-0.1212	-0.1456	False
acetylation_k	3	0	2	33	0.8182	9.0000	11.0000	-0.1123	-0.1424	0.0231	-0.1790	-0.0739	True
acetylation_k	3	1	29	540	0.6315	10.0000	16.0000	-0.0539	-0.1084	0.0395	-0.0969	-0.0779	False
acetylation_k	3	2	67	1698	0.5082	11.0000	22.0000	-0.0865	-0.1626	-0.0078	-0.0994	-0.1460	False
acetylation_k	3	3	100	3731	0.4109	13.0000	33.0000	-0.1505	-0.2514	-0.0801	-0.1153	-0.1908	False
acetylation_k	3	4	126	12023	0.2532	15.5000	71.0000	-0.2315	-0.3784	-0.1816	-0.1166	-0.2136	False
methylation_k	0	0	306	1671	0.2549	1.0000	5.0000	0.1873	0.0748	0.2258	-0.1490	-0.1380	False
methylation_k	0	1	253	2667	0.1489	1.0000	10.0000	0.1411	-0.0221	0.1697	-0.1877	-0.1342	False
methylation_k	0	2	163	2383	0.0978	1.0000	14.0000	0.1294	-0.0042	0.1439	-0.1448	-0.0769	False
methylation_k	0	3	174	3827	0.0711	1.0000	20.0000	0.0484	-0.1033	0.0600	-0.1655	-0.1162	False
methylation_k	0	4	141	5285	0.0411	1.0000	30.0000	0.0622	-0.0755	0.0680	-0.1450	-0.0527	False
methylation_k	1	0	38	254	0.4961	3.0000	6.0000	0.0146	-0.0920	0.1195	-0.2052	-0.1738	False
methylation_k	1	1	49	505	0.3208	3.0000	9.0000	0.0037	-0.1439	0.0734	-0.2102	-0.2069	False
methylation_k	1	2	52	768	0.2148	3.0000	14.0000	0.0378	-0.0823	0.0707	-0.1535	-0.1355	False
methylation_k	1	3	52	1115	0.1507	3.0000	20.0000	0.0229	-0.1265	0.0495	-0.1748	-0.1770	False
methylation_k	1	4	33	1216	0.0839	3.0000	33.0000	-0.0346	-0.2532	-0.0145	-0.2189	-0.1710	False
methylation_k	2	0	17	123	0.7073	4.0000	6.0000	0.0535	0.0135	0.1502	-0.1148	-0.0806	True
methylation_k	2	1	31	338	0.4882	4.0000	9.0000	-0.0113	-0.1011	0.0743	-0.1682	-0.1745	False
methylation_k	2	2	56	832	0.4147	5.0000	14.0000	-0.1154	-0.2532	-0.0178	-0.2429	-0.2323	False
methylation_k	2	3	72	1618	0.3356	6.0000	20.5000	-0.1618	-0.3190	-0.0824	-0.2261	-0.2761	False
methylation_k	2	4	126	5963	0.2118	6.0000	34.5000	-0.1970	-0.4456	-0.1301	-0.2797	-0.3424	False
methylation_r	0	0	203	941	0.2986	1.0000	4.0000	0.2051	0.0733	0.2612	-0.1779	-0.1720	False
methylation_r	0	1	180	1668	0.1559	1.0000	8.0000	0.1941	0.0419	0.2223	-0.1685	-0.1391	False
methylation_r	0	2	127	1694	0.1116	1.0000	12.0000	0.1618	-0.0020	0.1824	-0.1820	-0.1465	False
methylation_r	0	3	131	2589	0.0780	1.0000	18.0000	0.0574	-0.1002	0.0707	-0.1731	-0.1525	False
methylation_r	0	4	104	3878	0.0451	2.0000	29.5000	0.0183	-0.1752	0.0274	-0.1900	-0.1153	False
methylation_r	1	0	13	69	0.6522	3.0000	4.0000	0.0262	-0.0517	0.1724	-0.2454	-0.2198	True
methylation_r	1	1	39	350	0.3686	3.0000	8.0000	0.0129	-0.1168	0.0886	-0.1808	-0.1834	False
methylation_r	1	2	32	443	0.2438	3.0000	12.0000	0.1038	-0.0646	0.1581	-0.2323	-0.1981	False
methylation_r	1	3	23	416	0.1731	3.0000	17.0000	0.0030	-0.1446	0.0340	-0.1818	-0.1814	False
methylation_r	1	4	20	709	0.0973	3.0000	28.5000	-0.0462	-0.1993	-0.0297	-0.1608	-0.1237	False
methylation_r	2	0	6	38	0.7632	4.0000	5.5000	0.0987	0.0318	0.3141	-0.2069	-0.0802	True
methylation_r	2	1	16	139	0.5755	5.0000	8.5000	-0.0647	-0.1062	-0.0084	-0.0967	-0.0885	True
methylation_r	2	2	19	244	0.4303	5.0000	13.0000	-0.0962	-0.2747	0.0386	-0.3041	-0.3559	False
methylation_r	2	3	57	1074	0.3845	6.0000	17.0000	-0.1668	-0.3294	-0.0652	-0.2673	-0.2932	False
methylation_r	2	4	72	3222	0.2281	6.5000	32.0000	-0.2555	-0.4733	-0.1912	-0.2279	-0.3132	False
sumoylation_k	0	0	255	2799	0.1386	1.0000	10.0000	0.3385	0.1601	0.3672	-0.0783	-0.1488	False
sumoylation_k	0	1	152	3206	0.0730	1.0000	19.0000	0.2411	0.0673	0.2548	-0.1057	-0.1870	False
sumoylation_k	0	2	125	4002	0.0477	1.0000	29.0000	0.1350	0.0166	0.1410	-0.0456	-0.1499	False
sumoylation_k	0	3	98	4650	0.0292	1.0000	45.0000	0.0482	-0.0444	0.0510	-0.0697	-0.1136	False
sumoylation_k	0	4	102	9816	0.0147	1.0000	76.0000	-0.0584	-0.1226	-0.0575	-0.0484	-0.0660	False
sumoylation_k	1	0	73	852	0.3122	3.0000	11.0000	0.3146	0.1739	0.3784	-0.0730	-0.1015	False
sumoylation_k	1	1	75	1545	0.1806	3.0000	19.0000	0.2310	0.1039	0.2590	-0.0838	-0.1591	False
