task	split	alpha	mode	target_inflation	actual_inflation	inflation_reached	max_inflation	n_sites	n_proteins	exp_flipped	d_auroc	d_auprc	d_auroc_lo	d_auroc_hi	d_auprc_lo	d_auprc_hi	f_shallow	f_deep	f_ref	ref_bin	f_monotone
phosphorylation_y	0	0.0	alpha			True	1.1113	7010	500	127.98270511753864	0.026493797797369645	0.03165609050925875	0.022259904459721376	0.03135760631348081	0.024605500884986316	0.03814756662804047	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	0	0.25	alpha			True	1.1113	7010	500	92.48275949938363	0.02528275050625419	0.030398991245941667	0.020821886085194533	0.029370103111665623	0.02497691092521604	0.0366759078081176	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	0	0.5	alpha			True	1.1113	7010	500	59.447630409241604	0.02400369004578898	0.029383124771134524	0.020612422996703822	0.027857953979006755	0.025205512012531905	0.03427430348966573	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	0	0.75	alpha			True	1.1113	7010	500	28.6802004087124	0.023001129942850303	0.028373524008385363	0.0205754151758714	0.025611525055876588	0.025333580203537136	0.03221812777773791	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	0	1.0	alpha			True	1.1113	7010	500	0.0	0.021796408962754144	0.02712480508092802	0.021796408962754144	0.021796408962754144	0.027124805080928016	0.027124805080928016	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	0	0.08934198832134205	inflation	1.1	1.1	True	1.1113	7010	500	115.00000000000013	0.025949628782514007	0.0311368434420919	0.021750534554482993	0.030455006716767236	0.025546195556266554	0.03677840260031064	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	0	0.0	inflation	1.25	1.1113	False	1.1113	7010	500	127.98270511753864	0.026493797797369645	0.03165609050925875	0.022259904459721376	0.03135760631348081	0.024605500884986316	0.03814756662804047	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	0	0.0	inflation	1.5	1.1113	False	1.1113	7010	500	127.98270511753864	0.026493797797369645	0.03165609050925875	0.022259904459721376	0.03135760631348081	0.024605500884986316	0.03814756662804047	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	1	0.0	alpha			True	1.1015	6859	469	119.584966989511	0.021348581549574495	0.02329023204289019	0.017698244040015333	0.025463596159886488	0.016502648273955787	0.030129816368951658	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	1	0.25	alpha			True	1.1015	6859	469	85.98983254645981	0.01921481633437936	0.021335027586696424	0.015467909713863706	0.023579829520903654	0.015585243232196722	0.027159997685678682	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	1	0.5	alpha			True	1.1015	6859	469	55.01210805715591	0.017092008547801785	0.018932761776356655	0.014141230328243184	0.020290931521872	0.014512924640825358	0.02494103091713098	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	1	0.75	alpha			True	1.1015	6859	469	26.419177846001553	0.015510984435227146	0.016893428959800998	0.013504258521504437	0.01776522454154909	0.013833788751111832	0.020592137154737514	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	1	1.0	alpha			True	1.1015	6859	469	0.0	0.01388971488974211	0.01516982849954418	0.01388971488974211	0.01388971488974211	0.01516982849954418	0.01516982849954418	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	1	0.012781197027366742	inflation	1.1	1.1	True	1.1015	6859	469	117.80000000000011	0.020777572596789265	0.02260798720623539	0.016840389945554837	0.024395205043079314	0.01707829912637829	0.029116952628547663	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	1	0.0	inflation	1.25	1.1015	False	1.1015	6859	469	119.584966989511	0.021348581549574495	0.02329023204289019	0.017698244040015333	0.025463596159886488	0.016502648273955787	0.030129816368951658	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	1	0.0	inflation	1.5	1.1015	False	1.1015	6859	469	119.584966989511	0.021348581549574495	0.02329023204289019	0.017698244040015333	0.025463596159886488	0.016502648273955787	0.030129816368951658	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	2	0.0	alpha			True	1.2126	7095	493	243.4170022571584	0.013312302496695372	0.003545965444873028	0.00724812696742567	0.019997739540104528	-0.0023539660063399553	0.01046315345593165	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
phosphorylation_y	2	0.25	alpha			True	1.2126	7095	493	173.19684353272757	0.012150745636557441	0.0013021294619504295	0.007229888924687419	0.017442526714017855	-0.004681878226759172	0.007191724914018068	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
phosphorylation_y	2	0.5	alpha			True	1.2126	7095	493	109.6371378514794	0.010926830252163771	-0.0010693156714009799	0.00665849904918264	0.01520806363837412	-0.006352193174143734	0.004353222669794696	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
phosphorylation_y	2	0.75	alpha			True	1.2126	7095	493	52.0975143160747	0.009872764734479038	-0.002752092516272625	0.0070838212665127135	0.012996349424076695	-0.006092280290359737	0.0017168044287940332	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
phosphorylation_y	2	1.0	alpha			True	1.2126	7095	493	0.0	0.009045833180433727	-0.004589802520331698	0.009045833180433727	0.009045833180433727	-0.004589802520331698	-0.004589802520331698	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
phosphorylation_y	2	0.47996843040581794	inflation	1.1	1.1	True	1.2126	7095	493	114.50000000000006	0.011173333339307274	-0.000534790682345434	0.006931902793186062	0.015414736049937072	-0.005669140011737342	0.004782160983844854	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
phosphorylation_y	2	0.0	inflation	1.25	1.2126	False	1.2126	7095	493	243.4170022571584	0.013312302496695372	0.003545965444873028	0.00724812696742567	0.019997739540104528	-0.0023539660063399553	0.01046315345593165	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
phosphorylation_y	2	0.0	inflation	1.5	1.2126	False	1.2126	7095	493	243.4170022571584	0.013312302496695372	0.003545965444873028	0.00724812696742567	0.019997739540104528	-0.0023539660063399553	0.01046315345593165	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
phosphorylation_st	0	0.0	alpha			True	1.67	109067	1343	12653.74592507576	0.017963584749685197	-0.039366361205491716	0.01602676275463286	0.019648697584077904	-0.042125682299274714	-0.03648636980406258	0.024897573274503624	0.27396557473770616	0.27396557473770616	5	True
phosphorylation_st	0	0.25	alpha			True	1.67	109067	1343	7668.730066386495	0.0010257596051813534	-0.07164042482037225	-0.0009684482289152778	0.002989235791200096	-0.0748243811067925	-0.06870300229874943	0.024897573274503624	0.27396557473770616	0.27396557473770616	5	True
phosphorylation_st	0	0.5	alpha			True	1.67	109067	1343	4231.53276161252	-0.01079253315748407	-0.09655612221267117	-0.012325191937870286	-0.009360422397766941	-0.09870486089132799	-0.09447003755340483	0.024897573274503624	0.27396557473770616	0.27396557473770616	5	True
