task	train	eval	split	family	icc_base	icc	icc_fold	msw_base	msw	msw_ratio	n_proteins	n_sites
acetylation_k	rebuilt	rebuilt	0	esm2	0.0448	0.3074	6.8601	0.0772	0.0739	1.0449	662	19394
acetylation_k	rebuilt	replica	0	esm2	0.1299	0.3532	2.7198	0.0714	0.0795	0.8987	204	6924
acetylation_k	rebuilt	rebuilt	0	interaction	0.0448	0.2582	5.7610	0.0772	0.0779	0.9909	662	19394
acetylation_k	rebuilt	replica	0	interaction	0.1299	0.3103	2.3897	0.0714	0.0819	0.8723	204	6924
acetylation_k	rebuilt	rebuilt	0	prott5	0.0448	0.2810	6.2713	0.0772	0.0858	0.8995	662	19394
acetylation_k	rebuilt	replica	0	prott5	0.1299	0.3152	2.4269	0.0714	0.0950	0.7514	204	6924
acetylation_k	rebuilt	rebuilt	1	esm2	0.0513	0.3110	6.0642	0.0775	0.0694	1.1164	633	19515
acetylation_k	rebuilt	replica	1	esm2	0.1041	0.3647	3.5021	0.0749	0.0762	0.9836	211	7206
acetylation_k	rebuilt	rebuilt	1	interaction	0.0513	0.2695	5.2560	0.0775	0.0803	0.9644	633	19515
acetylation_k	rebuilt	replica	1	interaction	0.1041	0.2716	2.6086	0.0749	0.0894	0.8382	211	7206
acetylation_k	rebuilt	rebuilt	1	prott5	0.0513	0.3468	6.7621	0.0775	0.0664	1.1657	633	19515
acetylation_k	rebuilt	replica	1	prott5	0.1041	0.4169	4.0041	0.0749	0.0691	1.0834	211	7206
acetylation_k	rebuilt	rebuilt	2	esm2	0.0391	0.2991	7.6399	0.0807	0.0754	1.0700	670	20306
acetylation_k	rebuilt	replica	2	esm2	0.1089	0.3043	2.7934	0.0774	0.0819	0.9454	218	8054
acetylation_k	rebuilt	rebuilt	2	interaction	0.0391	0.2507	6.4053	0.0807	0.0811	0.9947	670	20306
acetylation_k	rebuilt	replica	2	interaction	0.1089	0.2857	2.6230	0.0774	0.0877	0.8832	218	8054
acetylation_k	rebuilt	rebuilt	2	prott5	0.0391	0.3117	7.9631	0.0807	0.0729	1.1070	670	20306
acetylation_k	rebuilt	replica	2	prott5	0.1089	0.3485	3.1999	0.0774	0.0820	0.9447	218	8054
acetylation_k	rebuilt	rebuilt	0	esm2_perm	0.0448	0.1324	2.9553	0.0772	0.0798	0.9671	662	19394
acetylation_k	rebuilt	replica	0	esm2_perm	0.1299	0.1971	1.5176	0.0714	0.0742	0.9627	204	6924
acetylation_k	rebuilt	rebuilt	0	interaction_perm	0.0448	0.1254	2.7994	0.0772	0.0897	0.8603	662	19394
acetylation_k	rebuilt	replica	0	interaction_perm	0.1299	0.1973	1.5197	0.0714	0.0848	0.8425	204	6924
acetylation_k	rebuilt	rebuilt	0	prott5_perm	0.0448	0.1879	4.1935	0.0772	0.0717	1.0765	662	19394
acetylation_k	rebuilt	replica	0	prott5_perm	0.1299	0.2919	2.2480	0.0714	0.0639	1.1179	204	6924
acetylation_k	rebuilt	rebuilt	1	esm2_perm	0.0513	0.1384	2.6990	0.0775	0.0682	1.1352	633	19515
acetylation_k	rebuilt	replica	1	esm2_perm	0.1041	0.1689	1.6220	0.0749	0.0674	1.1116	211	7206
acetylation_k	rebuilt	rebuilt	1	interaction_perm	0.0513	0.1686	3.2868	0.0775	0.0931	0.8322	633	19515
acetylation_k	rebuilt	replica	1	interaction_perm	0.1041	0.2250	2.1604	0.0749	0.0906	0.8272	211	7206
acetylation_k	rebuilt	rebuilt	1	prott5_perm	0.0513	0.1815	3.5387	0.0775	0.0763	1.0155	633	19515
acetylation_k	rebuilt	replica	1	prott5_perm	0.1041	0.2084	2.0016	0.0749	0.0736	1.0180	211	7206
acetylation_k	rebuilt	rebuilt	2	esm2_perm	0.0391	0.1260	3.2198	0.0807	0.0999	0.8077	670	20306
acetylation_k	rebuilt	replica	2	esm2_perm	0.1089	0.2185	2.0063	0.0774	0.0929	0.8331	218	8054
acetylation_k	rebuilt	rebuilt	2	interaction_perm	0.0391	0.1221	3.1181	0.0807	0.0870	0.9272	670	20306
