
=== trained on replica, evaluated on rebuilt-test, [frozen ESM-2 650M], 3 splits averaged ===
PTM                    tPP%  ICC base  ICC +feat  ICC fold  MSW base  MSW +feat  MSW ratio  n prot
phosphorylation_st     3.8%     0.126      0.303      2.4x    0.0764     0.0788      0.97x    1305
phosphorylation_y      3.5%     0.126      0.380      3.0x    0.0541     0.0617      0.88x     425
ubiquitination_k      12.6%     0.047      0.337      7.1x    0.0821     0.0767      1.07x    1137
sumoylation_k         16.5%     0.059      0.471      8.0x    0.0814     0.0571      1.42x     620
acetylation_k         20.3%     0.051      0.611     11.9x    0.1021     0.0464      2.20x     655
methylation_k         27.8%     0.114      0.879      7.7x    0.0520     0.0070      7.44x     527
methylation_r         31.6%     0.134      0.837      6.2x    0.0672     0.0126      5.32x     339
glycosylation_n       35.9%     0.052      0.417      8.0x    0.1552     0.0957      1.62x     256

=== trained on rebuilt, evaluated on rebuilt-test, [frozen ESM-2 650M], 3 splits averaged ===
PTM                    tPP%  ICC base  ICC +feat  ICC fold  MSW base  MSW +feat  MSW ratio  n prot
phosphorylation_st     3.8%     0.148      0.282      1.9x    0.0763     0.0743      1.03x    1305
phosphorylation_y      3.5%     0.124      0.303      2.4x    0.0653     0.0581      1.12x     425
ubiquitination_k      12.6%     0.076      0.331      4.4x    0.0657     0.0620      1.06x    1137
sumoylation_k         16.5%     0.049      0.352      7.2x    0.0650     0.0582      1.12x     620
acetylation_k         20.3%     0.045      0.306      6.8x    0.0785     0.0729      1.08x     655
methylation_k         27.8%     0.117      0.278      2.4x    0.0552     0.0539      1.02x     527
methylation_r         31.6%     0.135      0.267      2.0x    0.0566     0.0656      0.86x     339
glycosylation_n       35.9%     0.052      0.064      1.2x    0.1352     0.1374      0.98x     256
