threshold	r2_target	seed	r2_measured	homog_train	homog_test_threshold	homog_test_natural	auroc_base_threshold	auprc_base_threshold	auroc_base_natural	auprc_base_natural	auroc_real_threshold	auprc_real_threshold	auroc_real_natural	auprc_real_natural	auroc_perm_threshold	auprc_perm_threshold	auroc_perm_natural	auprc_perm_natural	d_real_threshold	d_perm_threshold	real_beats_perm_threshold	d_real_natural	d_perm_natural	real_beats_perm_natural	rho_score_depth_base	rho_score_depth_real	rho_delta	rho_truth
0	0.3000	0	0.1553	0.0163	0.0000	0.0000	0.6959	0.4050	0.6959	0.4050	0.7290	0.4489	0.7290	0.4489	0.6526	0.3449	0.6526	0.3449	0.0330	-0.0433	1	0.0330	-0.0433	1	0.1342	0.3911	0.2568	0.8592
0	0.3000	1	0.1460	0.0116	0.0000	0.0000	0.7457	0.4930	0.7457	0.4930	0.7760	0.5449	0.7760	0.5449	0.7375	0.4789	0.7375	0.4789	0.0302	-0.0082	1	0.0302	-0.0082	1	0.1742	0.4070	0.2327	0.8477
0	0.3000	2	0.1466	0.0000	0.0377	0.0377	0.7678	0.5499	0.7678	0.5499	0.7823	0.5766	0.7823	0.5766	0.7533	0.5303	0.7533	0.5303	0.0145	-0.0145	1	0.0145	-0.0145	1	0.1725	0.3693	0.1967	0.8212
0	0.3000	3	0.1443	0.0000	0.0000	0.0000	0.7464	0.4956	0.7464	0.4956	0.7692	0.5266	0.7692	0.5266	0.7379	0.4815	0.7379	0.4815	0.0228	-0.0085	1	0.0228	-0.0085	1	0.1874	0.4068	0.2194	0.8432
0	0.3000	4	0.1611	0.0069	0.0000	0.0000	0.7555	0.5246	0.7555	0.5246	0.7746	0.5552	0.7746	0.5552	0.7344	0.4926	0.7344	0.4926	0.0191	-0.0211	1	0.0191	-0.0211	1	0.1813	0.4049	0.2236	0.8292
10	0.3000	0	0.1553	26.5143	26.2170	0.0000	0.7273	0.7633	0.6966	0.4077	0.6252	0.6685	0.5752	0.2702	0.6255	0.6591	0.6064	0.3073	-0.1021	-0.1018	0	-0.1215	-0.0903	0	0.1168	-0.0856	-0.2024	0.8592
10	0.3000	1	0.1460	25.4568	25.1519	0.0000	0.7794	0.8103	0.7461	0.4955	0.7251	0.7548	0.6673	0.3627	0.7505	0.7780	0.7221	0.4549	-0.0543	-0.0289	0	-0.0789	-0.0240	0	0.1704	-0.0648	-0.2353	0.8477
10	0.3000	2	0.1466	23.9083	25.2132	0.0377	0.7995	0.8309	0.7691	0.5530	0.7494	0.7826	0.7168	0.4608	0.7558	0.7913	0.7273	0.4886	-0.0501	-0.0437	0	-0.0523	-0.0419	0	0.1688	0.0637	-0.1051	0.8212
10	0.3000	3	0.1443	23.9212	25.1376	0.0000	0.7749	0.8006	0.7471	0.4968	0.6809	0.7017	0.6474	0.3551	0.6892	0.7101	0.6794	0.4059	-0.0941	-0.0857	0	-0.0997	-0.0677	0	0.1826	-0.0471	-0.2296	0.8432
10	0.3000	4	0.1611	24.7621	24.7018	0.0000	0.7864	0.8141	0.7546	0.5223	0.7425	0.7671	0.7125	0.4402	0.7262	0.7481	0.6926	0.4319	-0.0439	-0.0602	1	-0.0422	-0.0621	1	0.1552	0.0233	-0.1320	0.8292
