accession,cluster_id,split
Q8WZ42,0,train
Q8WXI7,1,train
Q8NF91,2,train
Q7Z5P9,3,train
Q5VST9,4,train
Q03001,5,train
Q9UPN3,6,train
Q5CZC0,7,train
Q8WXH0,8,train
P20929,9,val
Q8WXG9,10,train
Q09666,11,train
Q8IVF2,12,train
Q9HC84,13,train
P98088,14,train
Q96RW7,15,train
Q9NU22,16,train
O14686,17,train
Q9UKN1,18,train
Q9Y6R7,19,train
B4DH59,20,train
Q5TAG4,20,train
A0A087WUL8,20,train
P0DPF2,20,train
Q63HN8,21,train
O75445,22,train
Q5T4S7,23,train
Q02817,24,train
Q9Y6V0,25,train
Q4G0P3,26,train
P58107,27,train
Q8NDA2,28,train
Q86UQ4,29,val
Q92736,30,train
Q15413,30,train
P21817,30,train
Q2LD37,31,train
Q6V0I7,32,train
Q8NEZ4,33,train
Q15751,34,train
Q9NR09,35,train
O95714,36,train
Q96M86,37,val
Q9P2P6,38,train
Q15149,39,val
P46783,39,val
Q9NQ39,39,val
O75592,40,train
P98164,41,train
Q14204,42,train
Q8TE73,43,train
Q96JB1,43,train
Q07954,44,train
Q9NZR2,44,train
Q9NYQ8,45,train
Q8TDW7,45,train
Q14517,45,train
Q9NZJ4,46,test
P04114,47,train
Q16609,48,test
P00747,48,test
P08519,48,test
Q685J3,49,val
Q9UFH2,50,train
Q9NYC9,50,train
Q8IVF4,51,test
Q9P225,52,train
P98160,53,train
Q5THJ4,54,train
Q12955,55,train
Q7Z6Z7,56,train
Q8NCM8,57,train
P98161,58,train
Q8WXX0,59,train
Q8TD57,59,train
Q9P2D7,59,train
P22105,60,train
Q86WI1,61,train
Q8TCU4,62,test
Q9C0G6,63,train
P78527,64,val
P08F94,65,train
Q8N3K9,66,train
P20930,67,train
Q7Z7G8,68,train
Q86XX4,69,train
Q9Y4D8,70,train
Q03164,71,test
Q01484,72,val
Q9UPA5,73,train
Q96JG9,74,train
Q99996,75,train
Q9Y4A5,76,train
Q99698,77,train
Q709C8,78,train
Q7Z408,79,train
Q7Z407,79,train
Q15911,80,train
O15230,81,train
P11532,82,test
Q13474,82,test
Q9NRC6,83,test
Q96T58,84,train
Q96Q15,85,train
O60494,86,val
Q4LDE5,87,train
Q86UP3,88,train
Q70CQ2,89,train
Q9UKN7,90,train
Q8IZQ1,91,train
Q0VDD8,92,train
Q8IZT6,93,train
P78509,94,train
P46939,95,test
Q5T011,96,val
P51587,97,train
P13611,98,train
A4UGR9,99,train
Q9H251,100,train
O95613,101,val
Q16787,102,train
Q9HCU4,103,train
Q9NYQ6,103,train
Q9NYQ7,103,train
Q96JQ0,104,test
Q15772,105,train
Q14789,106,test
Q8N2C7,107,train
P46013,108,train
Q6ZRS2,109,test
P49792,110,train
P0DN26,110,train
P0DN37,110,train
A0A075B767,110,train
A6NKT7,110,train
Q9UNP9,110,train
Q7Z3J3,110,train
P0DJD0,110,train
O14715,110,train
Q9Y536,110,train
A0A0B4J2A2,110,train
P0DJD1,110,train
Q99666,110,train
P62937,110,train
P43487,110,train
P30405,110,train
Q9H799,111,train
Q6ZTR5,112,train
Q6ZS81,113,test
P12111,114,train
Q96RL7,115,train
Q5SZK8,116,train
P0C091,116,train
Q5T1H1,117,train
Q6ZTU2,118,train
Q96L91,118,train
P42858,119,train
O60673,120,val
P24043,121,train
P25391,121,train
Q5VT06,122,train
P49454,123,train
O60229,124,train
O75962,124,train
Q86VW2,124,train
Q96N23,125,train
Q6ZR08,126,train
Q12982,127,train
Q8WUY3,127,train
Q86WG3,127,train
Q99715,128,train
Q13315,129,val
Q8IYS8,130,train
Q96IK1,130,train
Q8NFC6,130,train
Q12830,131,train
Q9Y485,132,train
Q8TDJ6,132,train
Q8IWI9,133,train
O94915,134,train
Q5TBA9,134,train
Q8TD26,135,train
Q3L8U1,135,train
Q9P2D1,135,train
Q9HCK8,135,train
Q68DQ2,136,train
Q9NR48,137,train
O15417,138,train
O43149,139,train
O95359,140,train
Q8NFP9,141,test
P50851,141,test
Q02388,142,train
P02462,142,train
P08572,142,train
P29400,142,train
Q01955,142,train
P53420,142,train
Q14031,142,train
O15050,143,train
Q6V1P9,144,train
P35556,145,train
P35555,145,train
Q75N90,145,train
Q9Y520,146,train
Q6ZQQ6,147,train
P15924,148,train
Q5D862,149,train
Q86YZ3,149,train
Q8TDX9,150,train
Q7Z7M0,151,train
P25054,152,train
O15018,153,train
P21359,154,test
Q9NR99,155,train
P04275,156,train
Q12802,157,train
Q9Y493,158,train
P0CG35,158,train
Q6KC79,159,train
P78559,160,train
O95071,161,train
Q9BXT5,162,train
O75691,163,train
Q9P273,164,test
Q9UKZ4,164,test
Q9NT68,164,test
Q6N022,164,test
P01266,165,train
Q14571,166,train
Q14643,166,train
Q14573,166,train
Q6ZNJ1,167,test
Q9H5I5,168,train
Q9UQ35,169,train
P21333,170,train
Q14315,170,train
O75369,170,train
O60281,171,train
P15822,172,train
Q8IYW2,173,train
Q9UMN6,174,test
Q02224,175,train
Q96L73,176,train
O96028,176,train
Q6ZS30,177,train
Q7Z333,178,train
Q92616,179,train
Q6UB99,180,train
Q9BYK8,181,train
Q13535,182,val
Q9P281,183,train
Q9P2D8,184,train
Q99973,185,train
A6H8Y1,186,val
Q9Y2H9,187,train
Q6P0Q8,187,train
O60307,187,train
O15021,187,train
Q6WRI0,188,train
Q9UPU5,189,train
A6NMZ7,190,train
A8TX70,190,train
Q9ULT8,191,val
Q8IWZ3,192,train
O75179,192,train
Q9C0D2,193,train
Q86UK0,194,train
O75417,195,train
Q9HCE0,196,val
Q9C0A1,197,test
Q9NY15,198,train
O00507,199,test
Q93008,199,test
Q8IUG5,200,train
Q9H254,201,train
Q9BYW2,202,train
P0DPK3,203,train
P46531,203,train
Q9UM47,203,train
Q04721,203,train
Q8WWQ8,204,train
P42345,205,test
B2RTY4,206,train
Q9Y490,207,train
Q9Y4G6,207,train
Q15652,208,train
Q68DK2,209,val
Q8TEP8,210,test
P16112,211,val
Q5S007,212,train
Q92508,213,train
Q8IWT3,214,train
Q2M2H8,215,train
O43451,215,train
P14410,215,train
Q9Y618,216,train
P49327,217,val
O00555,218,train
Q96JM2,219,train
P46100,220,train
P11717,221,train
Q8IVL1,222,train
Q12923,223,train
Q96AY4,224,val
O15078,225,test
Q5UIP0,226,train
Q13813,227,train
P46821,228,train
Q5JWR5,229,val
Q7Z442,230,train
Q13085,231,train
O00763,231,train
Q8NDH2,232,val
P31629,233,train
Q96JI7,234,train
Q9BV73,235,train
Q92793,236,val
Q09472,236,val
O75376,237,train
Q6W4X9,238,train
Q9BZC7,239,train
Q5VWN6,240,train
P18583,241,train
Q7Z2Y8,242,train
P02549,243,train
Q9UGM3,244,train
O43866,244,train
Q5T1R4,245,train
Q8IWN7,246,train
Q01082,247,test
P11277,247,test
O15020,247,test
P02751,248,train
Q8IVL0,249,val
Q9H4A3,250,train
O95180,251,val
O43497,251,val
A5YKK6,252,train
A2RRP1,253,train
Q6PRD1,254,train
Q9H2D6,255,train
P12270,256,train
O15027,257,train
Q9HCK1,258,train
Q4AC94,259,test
A6NE01,260,train
P00451,261,test
P08922,262,test
Q96KF2,262,test
Q5VU43,263,train
Q8NG31,264,train
Q9H6A9,265,train
Q96RV3,265,train
A6NKB5,265,train
Q00975,266,train
Q15878,266,train
Q6P2Q9,267,train
Q3ZCN5,268,train
Q7Z7A1,269,train
Q6UVK1,270,train
Q6RI45,271,train
Q9NSI6,271,train
Q8WWQ0,271,train
Q13023,272,test
P23470,273,train
P23471,273,train
O95996,274,train
Q9P212,275,train
Q9Y3R5,276,val
Q9Y3S1,277,train
Q07864,278,train
O14497,279,train
Q5VUA4,280,train
O95477,281,train
P78363,281,train
O60287,282,train
Q8WYP5,283,train
Q9Y2F5,284,test
Q9NTG1,285,val
Q9C0G0,286,train
Q9C0F0,287,train
Q68DE3,288,test
O75165,289,train
Q9H869,290,train
Q3T8J9,290,train
Q9BTC0,291,test
Q8NFD5,292,train
Q14667,293,train
Q13439,294,train
Q5JSZ5,295,train
Q86VV8,296,train
P27708,297,val
P31327,297,val
P12259,298,train
Q9P0X4,299,train
Q6Q759,300,train
Q13936,301,train
